N°,periodo,Destination,Anguilla,Antigua and Barbuda,Aruba,Bahamas,Barbados,"Bonaire, Sint Eustatius and Saba",British Virgin Islands,Cayman Islands,Cuba,Curaçao,Dominica,Dominican Republic,Grenada,Guadeloupe,Haiti,Jamaica,Martinique,Montserrat,Puerto Rico,Saint Kitts and Nevis,Saint Lucia,Saint Vincent and the Grenadines,Sint Maarten (Dutch part),Trinidad and Tobago,Turks and Caicos Islands,United States Virgin Islands,Belize,Costa Rica,El Salvador,Guatemala,Honduras,Mexico,Nicaragua,Panama,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Ecuador,Falkland Islands (Malvinas),French Guiana,Guyana,Paraguay,Peru,Suriname,Uruguay,Venezuela (Bolivarian Republic of),Bermuda,Canada,Greenland,Saint Pierre and Miquelon,United States of America
195,1995,Guadeloupe,,,,,,,,,,,5604.0,2517.0,,,10272.0,,6985.0,,,,274.0,,,,,,,,,,,,,,,,39.0,,,,,881.0,91.0,,,14.0,,,,263.0,,,263.0
196,1995,Haiti,,,,,,,,,1416.0,,,2832.0,,,,,,,1819.0,,,,,,,,,322.0,,,,361.0,,,548.0,,,392.0,975.0,,,,,,413.0,,337.0,2954.0,,739.0,,,1891.0
197,1995,Jamaica,,143.0,,616.0,497.0,,,,1837.0,,128.0,,192.0,,,,,,,89.0,305.0,209.0,,2126.0,,,7.0,101.0,137.0,311.0,165.0,,128.0,77.0,,,,,,,,,,,,,,,,1277.0,,,5615.0
198,1995,Martinique,,,,,,,,,,,279.0,69.0,,4074.0,1335.0,,,,,,1390.0,,,,,,,,,,,,,,,,41.0,,,,,1348.0,,,,,,,,,,,
199,1995,Montserrat,,138.0,,,,,,,,,331.0,29.0,,,,,,,,141.0,,35.0,,52.0,,,,,,,,,,,,,,,,,,,288.0,,,,,,,44.0,,,138.0
200,1995,Puerto Rico,,,,,,,,,19293.0,,2575.0,49325.0,,,310.0,88.0,,,,,,,,357.0,,939.0,,531.0,504.0,515.0,446.0,2302.0,483.0,1661.0,1245.0,115.0,195.0,879.0,3601.0,675.0,,,104.0,,916.0,,,1617.0,,244.0,,,230426.0
201,1995,Saint Kitts and Nevis,,231.0,,8.0,56.0,,140.0,,,,115.0,,34.0,,,82.0,,246.0,,,60.0,97.0,,152.0,,350.0,,,,,,,,,,,,,,,,,443.0,,,,,,,,,,
202,1995,Saint Lucia,21.0,65.0,10.0,7.0,437.0,,2.0,2.0,13.0,,129.0,26.0,90.0,25.0,,105.0,267.0,18.0,9.0,25.0,,245.0,,438.0,,11.0,0.0,,,2.0,,5.0,,16.0,,,6.0,,,,,171.0,1108.0,,,24.0,,35.0,3.0,143.0,,,372.0
203,1995,Saint Vincent and the Grenadines,,53.0,,,315.0,182.0,,,,139.0,78.0,,392.0,,,115.0,,,,36.0,216.0,,90.0,871.0,,,,,,,,,,,,,,,,,,,217.0,,,,,,,148.0,,,303.0
204,1995,Sint Maarten (Dutch part),0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,0.0,,0.0,,,0.0
205,1995,Trinidad and Tobago,,,,,2188.0,,,,36.0,,,,15066.0,,,736.0,,,,,1185.0,10556.0,,,,,,,,,,,,,,,,,,,,,4666.0,,,,,1213.0,,874.0,,,2205.0
206,1995,Turks and Caicos Islands,,,,649.0,,,,,,,,520.0,,,3567.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,284.0,,,565.0
207,1995,United States Virgin Islands,1106.0,4610.0,468.0,,324.0,370.0,2693.0,,,,4060.0,1861.0,520.0,,346.0,305.0,,728.0,4141.0,6435.0,2990.0,485.0,,2300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14965.0
209,1995,Belize,,,,,,,,,,,,,,,37.0,424.0,,,,,,,,,,,,,6661.0,14350.0,4100.0,2782.0,,,,,,,,,,,,,,,,,,515.0,,,1908.0
