Destination,periodo,Argentina,Bolivia (Plurinational State of),Brazil,Chile,Colombia,Costa Rica,Cuba,Dominican Republic,Ecuador,El Salvador,Guatemala,Haiti,Honduras,Mexico,Nicaragua,Panama,Paraguay,Peru,United States of America,Uruguay,Venezuela (Bolivarian Republic of),Barbados,Trinidad and Tobago,Jamaica,Grenada,Suriname,Dominica,Saint Lucia,Antigua and Barbuda,Saint Vincent and the Grenadines,Bahamas,Saint Kitts and Nevis,Canada,Belize,Guyana
Honduras,2000,142.0,110.0,176.0,230.0,644.0,639.0,455.0,101.0,342.0,6574.0,3421.0,33.0,,1164.0,5768.0,296.0,26.0,285.0,5061.0,50.0,73.0,,,20.0,,,,,,,,,259.0,271.0,
Mexico,2000,6625.0,2007.0,3391.0,5685.0,6639.0,3166.0,7267.0,1199.0,1778.0,5786.0,29156.0,334.0,4203.0,,3696.0,2396.0,329.0,5479.0,358399.0,1966.0,3024.0,,41.0,121.0,,,,,,,,,7245.0,1597.0,
Nicaragua,2000,188.0,46.0,107.0,111.0,309.0,6948.0,754.0,55.0,86.0,2102.0,1199.0,20.0,10017.0,725.0,,347.0,,185.0,3006.0,21.0,125.0,,,24.0,,,,,65.0,,45.0,,180.0,34.0,
Panama,2000,796.0,189.0,802.0,1060.0,21473.0,4654.0,1676.0,5859.0,1896.0,2032.0,600.0,300.0,838.0,2341.0,4923.0,,35.0,2697.0,5212.0,264.0,989.0,46.0,46.0,553.0,2.0,,24.0,,,,,,438.0,86.0,33.0
Paraguay,2000,64404.0,1140.0,83208.0,2382.0,,,,,,,,,,1813.0,,,,,1781.0,3303.0,,,,,,,,,,,,,2575.0,,
Peru,2000,8282.0,4174.0,3545.0,5239.0,4331.0,246.0,660.0,132.0,2911.0,79.0,119.0,36.0,121.0,1088.0,117.0,252.0,398.0,,7188.0,447.0,2362.0,,,,,,,,,17.0,,,893.0,,
United States of America,2000,125218.0,53278.0,212428.0,80804.0,509872.0,71870.0,872716.0,687677.0,298626.0,817336.0,480665.0,419317.0,282852.0,9177487.0,220335.0,105177.0,11980.0,278186.0,,25038.0,107031.0,52172.0,197398.0,553827.0,29272.0,5579.0,15639.0,13524.0,18324.0,19984.0,28076.0,11054.0,820771.0,40151.0,211189.0
Uruguay,2000,21691.0,,11507.0,1455.0,,,,,,,,,,602.0,,,1160.0,104.0,705.0,,659.0,,,,,,,,,,,,355.0,,
Venezuela (Bolivarian Republic of),2000,8724.0,1838.0,4828.0,15733.0,617182.0,1178.0,9928.0,14293.0,28999.0,908.0,433.0,1689.0,309.0,3115.0,1934.0,976.0,239.0,36348.0,10159.0,4692.0,,83.0,2765.0,126.0,235.0,61.0,8.0,25.0,,103.0,,,964.0,17.0,6698.0
Barbados,2000,,,,,,,0.0,,,,,0.0,,,,,,,1315.0,,,,2070.0,736.0,668.0,0.0,534.0,3924.0,267.0,4350.0,64.0,0.0,791.0,0.0,3026.0
Trinidad and Tobago,2000,,,,,,,40.0,,,,,,,,,,,,3501.0,,1413.0,1573.0,,798.0,11148.0,,,976.0,,8384.0,,,947.0,,5264.0
Jamaica,2000,,,,,,106.0,1928.0,,,143.0,326.0,,173.0,,134.0,80.0,,,6668.0,,,575.0,2476.0,,222.0,,148.0,353.0,165.0,242.0,713.0,103.0,1414.0,7.0,
Grenada,2000,,,,,,,,,,,,,,,,,,,,,308.0,161.0,1980.0,105.0,,,67.0,147.0,35.0,341.0,27.0,14.0,205.0,,308.0
Suriname,2000,,,3204.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7802.0
Dominica,2000,,,,,,,7.0,,,,,873.0,,,,,,,356.0,,17.0,95.0,175.0,74.0,,11.0,,161.0,290.0,72.0,7.0,36.0,105.0,,108.0
Saint Lucia,2000,,,9.0,,,,18.0,37.0,,,4.0,,,8.0,,22.0,,,511.0,,49.0,600.0,602.0,144.0,124.0,33.0,177.0,,90.0,336.0,10.0,34.0,197.0,1.0,1522.0
Antigua and Barbuda,2000,,,,,,,17.0,1466.0,,,,27.0,6.0,4.0,,,,,2157.0,,32.0,248.0,591.0,3278.0,158.0,37.0,3898.0,556.0,,754.0,2.0,391.0,356.0,11.0,5317.0
Saint Vincent and the Grenadines,2000,,,,,,,,,,,,,,,,,,,318.0,,,328.0,907.0,119.0,408.0,,81.0,224.0,55.0,,,37.0,154.0,,226.0
Bahamas,2000,9.0,,47.0,8.0,33.0,66.0,110.0,84.0,15.0,4.0,9.0,20628.0,13.0,82.0,7.0,14.0,,39.0,4300.0,2.0,24.0,108.0,321.0,3773.0,26.0,,47.0,57.0,8.0,22.0,,12.0,1351.0,13.0,682.0
Saint Kitts and Nevis,2000,,,,,,,,,,,,,,,,,,,,,,79.0,210.0,116.0,46.0,,158.0,82.0,319.0,136.0,11.0,,,,612.0
Canada,2000,13698.0,2397.0,13327.0,24970.0,17942.0,2529.0,5269.0,5106.0,11261.0,38826.0,13960.0,53390.0,4462.0,42332.0,9444.0,2495.0,4972.0,17932.0,255952.0,6240.0,7958.0,14862.0,64523.0,120632.0,8890.0,831.0,2798.0,3214.0,2313.0,8751.0,1273.0,2471.0,,1382.0,83357.0
Belize,2000,,,,,,,,,,6631.0,16058.0,38.0,5436.0,2539.0,,,,,1914.0,,,,,403.0,,,,,,,,,487.0,,
Guyana,2000,,,1074.0,,,,,,,,,,,,,,,,632.0,,1057.0,216.0,430.0,165.0,108.0,2314.0,25.0,264.0,10.0,205.0,8.0,,202.0,,
Argentina,2005,,294640.0,37604.0,195316.0,2672.0,190.0,1711.0,1058.0,1478.0,115.0,149.0,64.0,103.0,2243.0,141.0,249.0,451769.0,127337.0,6907.0,114433.0,1918.0,12.0,53.0,18.0,17.0,8.0,7.0,,,,,,819.0,9.0,
