origin,destination,year,qty
Saint Lucia,Antigua and Barbuda,1990,392.0
Saint Vincent and the Grenadines,Antigua and Barbuda,1990,478.0
Bahamas,Antigua and Barbuda,1990,5.0
Saint Kitts and Nevis,Antigua and Barbuda,1990,469.0
Canada,Antigua and Barbuda,1990,218.0
Belize,Antigua and Barbuda,1990,8.0
Guyana,Antigua and Barbuda,1990,1660.0
United States of America,Saint Vincent and the Grenadines,1990,291.0
Barbados,Saint Vincent and the Grenadines,1990,303.0
Trinidad and Tobago,Saint Vincent and the Grenadines,1990,837.0
Jamaica,Saint Vincent and the Grenadines,1990,111.0
Grenada,Saint Vincent and the Grenadines,1990,377.0
Dominica,Saint Vincent and the Grenadines,1990,75.0
Saint Lucia,Saint Vincent and the Grenadines,1990,208.0
Antigua and Barbuda,Saint Vincent and the Grenadines,1990,51.0
Saint Kitts and Nevis,Saint Vincent and the Grenadines,1990,35.0
Canada,Saint Vincent and the Grenadines,1990,143.0
Guyana,Saint Vincent and the Grenadines,1990,209.0
Argentina,Bahamas,1990,8.0
Brazil,Bahamas,1990,36.0
Chile,Bahamas,1990,9.0
Colombia,Bahamas,1990,28.0
Costa Rica,Bahamas,1990,10.0
Cuba,Bahamas,1990,48.0
Dominican Republic,Bahamas,1990,44.0
Ecuador,Bahamas,1990,10.0
El Salvador,Bahamas,1990,5.0
Guatemala,Bahamas,1990,7.0
Haiti,Bahamas,1990,10894.0
Honduras,Bahamas,1990,7.0
Mexico,Bahamas,1990,21.0
Nicaragua,Bahamas,1990,9.0
Panama,Bahamas,1990,17.0
Peru,Bahamas,1990,43.0
United States of America,Bahamas,1990,4247.0
Uruguay,Bahamas,1990,2.0
Venezuela (Bolivarian Republic of),Bahamas,1990,16.0
Barbados,Bahamas,1990,234.0
Trinidad and Tobago,Bahamas,1990,278.0
Jamaica,Bahamas,1990,2792.0
Grenada,Bahamas,1990,28.0
Dominica,Bahamas,1990,35.0
Saint Lucia,Bahamas,1990,25.0
Antigua and Barbuda,Bahamas,1990,13.0
Saint Vincent and the Grenadines,Bahamas,1990,20.0
Saint Kitts and Nevis,Bahamas,1990,13.0
Canada,Bahamas,1990,730.0
Belize,Bahamas,1990,31.0
Guyana,Bahamas,1990,419.0
Barbados,Saint Kitts and Nevis,1990,41.0
Trinidad and Tobago,Saint Kitts and Nevis,1990,115.0
Jamaica,Saint Kitts and Nevis,1990,62.0
